Title,Column 1,Column 2,Column 3,Column 4
Head of Project Animal Care,Director,,,
Head of Customer Center,Director,,,
Team Leader IT Development,Individual Contributor/Staff,,,
Head of Branch / Niederlassungsleitung,Director,,,
Head / Director E Commerce,Director,,,
VP Project Office,Vice President,,,
VP & Senior Principal Architect - Integration & Digital Services,Vice President,,,
Information Technology Automation Service Lead,Manager,Individual Contributor/Staff,,
"Assistant Manager, Market Strategy Dept",Individual Contributor/Staff,,,
Head of Agility & Digital Transformation,Director,,,
IT Operations Supervisor Corporate,Individual Contributor/Staff,,,
Legal Director and Compliance Officer,Director,,,
Head of IT and Information Security,Director,,,
Chief Data Products Officer,Chief Officer,,,
Digital Learning and Development Specialist,Individual Contributor/Staff,,,
Managing Director at ESG PLC,Director,,,
Network Access Officer,Individual Contributor/Staff,,,
Head of IT Life Science Performance & Portfolio Management,Director,,,
Automation Engineering Supervisor,Individual Contributor/Staff,,,
Director Cloud Operations,Director,,,
"Supervisor, Inflight Safety Management Systems",Individual Contributor/Staff,,,
Director IT Support and Success,Director,,,
"Director, Network Development and Contracting",Director,,,
"Director, Digital Transportation & Optimization",Director,,,
Director of Information Technology | Industrial Products,Director,,,
Director of Platform Security,Director,,,
Compliance Director and Contracting Manager,Manager,Director,,
Project Coordinator/IT Support Tech,Individual Contributor/Staff,,,
IT Change Management Lead,Individual Contributor/Staff,,,
Software Quality Assurance Systems Analyst,Individual Contributor/Staff,,,
Assistant Vice President & Purchasing Officer,Vice President,,,
Senior Vice President and Senior Relationship Manager,Vice President,,,
Clinical Professor and Executive Director,Director,,,
Trade Technology Developer,Individual Contributor/Staff,,,
Information Systems Analyst II DBA IES,Individual Contributor/Staff,,,
"Vice President, Product & Design",Vice President,,,
WTU Technical Service Leader,Individual Contributor/Staff,,,
Data Solutions Architecture,Individual Contributor/Staff,,,
IT Technical Support Specialist III,Individual Contributor/Staff,,,
Database Applications Developer/Database Administrator,Individual Contributor/Staff,,,
Web Development TA,Individual Contributor/Staff,,,
IT Training & Technical Support Analyst,Individual Contributor/Staff,,,
Global Procurement and Supply Chain Project Management | Purchasing,Individual Contributor/Staff,,,
Director of Engineering; Principal Software Engineer,Director,,,
HL7 Programmer,Individual Contributor/Staff,,,
Quality Control Inspector/CMM Programer,Individual Contributor/Staff,,,
ICT Associate,Individual Contributor/Staff,,,
ERP Business Systems Analyst,Individual Contributor/Staff,,,
"Production Planner, Purchasing and Inventory",Individual Contributor/Staff,,,
System Application Analyst,Individual Contributor/Staff,,,
"Lead Engineer, Systems and Reliability, New Product Development",Individual Contributor/Staff,,,
Java Web Application Developer,Individual Contributor/Staff,,,
Owner / Franchisee,Chief Officer,,,
Head of Cloud & Infra Security,Director,,,
Head Digital Product Management,Director,,,
Functional Analyst (Product Manage DE-Facto) ON Integration Platform,Individual Contributor/Staff,,,
Principal System Administrator UNIX Linux,Individual Contributor/Staff,,,
Software Engineer PLC,Individual Contributor/Staff,,,
Technical; Director,Director,,,
Senior Design Manager & Head of Innovation,Director,,,
"VP, Human Resources and Organization",Vice President,,,
Communications and Sales Director,Director,,,
Head of Controlling & Reporting,Director,,,
CFO / Corporate Finance Director,Director,Chief Officer,,
"International Sales and Marketing Director, Veterinary",Director,,,
Head of Store Operations Head of Retail Advancement,Director,,,
International Clinical Project Director,Director,,,
Head of Key Account Management,Director,,,
managing director,Director,,,
Technology And Project Director,Director,,,
Director of Operations GD,Director,,,
Head of Activity Supervisor,Director,,,
Head of Groundwater,Director,,,
GMP Compliance & Vendor Quality Management Head,Director,,,
Global Head of Digital Product,Director,,,
Principal ICT Security Management Officer,Individual Contributor/Staff,,,
"Division Head, Bank Supervisor IT Specialist",Director,,,
Head of Information System,Director,,,
Snr. IT Executive PMO Infrastructure,Individual Contributor/Staff,,,
Senior MIS Executive,Individual Contributor/Staff,,,
Head of IT Architecture Production & Services,Director,,,
network developer,Individual Contributor/Staff,,,
SAP Techni Functional Consultant,Individual Contributor/Staff,,,
Consultant Java,Individual Contributor/Staff,,,
"Executive Director, Legal",Director,,,
Partner Head of Accounting and Outsourcing,Individual Contributor/Staff,,,
Head of Commercial Finance Group Own Brand & Analytics and Health & Beauty,Director,,,
Sales DirectorPhotonics BU,Director,,,
"Managing Director, Head, Corporate Affairs",Director,,,
Antenna R&D Director,Director,,,
Senior Director of Studies,Director,,,
Digital & Data Director,Director,,,
"Senior Manager, HR Chief of Staff, Performance & Strategy",Vice President,Manager,,
"Contract Manufacturing Strategy & NPI Director, Gorilla",Director,,,
"Group Management IT Service Management, Deputyteam Management Service and Operation",Individual Contributor/Staff,,,
Head of Shapes Operations,Director,,,
Senior Director Legal & Compliance; General Counsel & Syndikusrechtsanwaltin,Director,Chief Officer,,
IT Security UND IT Netzwerkspezialist,Individual Contributor/Staff,,,
Head of Processes & IT,Director,,,
Analytical Quality Assurance,Individual Contributor/Staff,,,
Technical Service Supervisor Gujarat and MP Protective coating,Individual Contributor/Staff,,,
SQL/BI Developer,Individual Contributor/Staff,,,
President and Representative Director,Chief Officer,,,
"General Manager, Global Operations Division",Director,,,
Executive Office,Individual Contributor/Staff,,,
Vice Preshident,Vice President,,,
"General Manager, Business Strategy",Director,,,
"Manager, GVP Group",Vice President,,,
Global Technology Director CIO/CTO,Director,Chief Officer,,
"Chief of Research, Development and Application of Technological Innovations",Vice President,Manager,Individual Contributor/Staff,Director
Senior Equity Business Intelligence,Individual Contributor/Staff,,,
DBA SQL,Individual Contributor/Staff,,,
IT Analyst / Scrum Master,Individual Contributor/Staff,,,
Technology Deputy Director,Manager,Director,,
"Software Team Lead, Navigation Team",Manager,Individual Contributor/Staff,,
SQA Engineers,Individual Contributor/Staff,,,
Business Intelligence and Business Analytics Management,Individual Contributor/Staff,,,
Digital & Change Director,Director,,,
LAY Chairman o,Chief Officer,,,
Global President Clean Energy and Environmental Solutions,Chief Officer,,,
"Senior Director, Center for Digital Acceleration",Director,,,
"Head, IT Services",Director,,,
Senior Enterprise Support Technician III,Individual Contributor/Staff,,,
Credentialed EPIC Software Trainer,Individual Contributor/Staff,,,
Network Support Analyst 2,Individual Contributor/Staff,,,
Network Development Executive,Individual Contributor/Staff,,,
Expert Application Development and Support Analyst,Individual Contributor/Staff,,,
Primary Systems Administrator for Consumer Loan Origination Software,Individual Contributor/Staff,,,
Digital Marketing Specialist and Graphic Designer,Individual Contributor/Staff,,,
I.S. Technician,Individual Contributor/Staff,,,
Digital Business Transformation,Individual Contributor/Staff,,,
Tech Solutions Analyst,Individual Contributor/Staff,,,
Software Engineer Android,Individual Contributor/Staff,,,
Supplier Quality Engineer,,,,
"Senior software tester, team lead",Individual Contributor/Staff,,,
RSS Deployment Specialist,Individual Contributor/Staff,,,
IT Procurement Specialist and Admin Support,Individual Contributor/Staff,,,
IT Analyst Server & Storage,Individual Contributor/Staff,,,
Modern Infrastructure Lead Technician,Individual Contributor/Staff,,,
"Courseware Developer, Instructional Designer",Individual Contributor/Staff,,,
Data Analytics Internal Auditor,Individual Contributor/Staff,,,
Executive Vice President & Chief HR Officer,Chief Officer,,,
President / Mayor,Chief Officer,,,
VP Technology Development,Vice President,,,
Technology & Project Director,Director,,,
Head of Operational Risk Control,Director,,,
"Director, TDC Sales Enablement",Director,,,
"Head of Environments, Layout and FX",Director,,,
Commodity Purchasing Head Production & Non Prod,Director,,,
CHRO/Head of HR,Chief Officer,,,
IT Operations and Telecommunications Technicians,Individual Contributor/Staff,,,
"Brand, Communications & Digital Marketing Lead",Individual Contributor/Staff,,,
Program Management e IT Budget & Control Service Demand,Individual Contributor/Staff,,,
President and Managing Derector,Director,,,
Head of Export/Sales Admin,Director,,,
Director HR Business Partnerships and Employee Relations,Director,,,
VP HR NA Potato,Vice President,,,
Director Communications and Engagement,Director,,,
"Director, Labour Relations",Director,,,
"Director, HR Reporting & Analytics",Director,,,
Business Planning Department Staff / Corporate Planning Headquarters,Individual Contributor/Staff,,,
Online Commercial Director / eCommerce,Director,,,
Head of Business Change Operations,Director,,,
"HR Director, Services and HR Programmes",Director,,,
People Insight Lead,Individual Contributor/Staff,,,
Director Transportation Training,Director,,,
Business Unit Leader Factory Operations,Individual Contributor/Staff,,,
Strategic Initiatives Coordinator,Individual Contributor/Staff,,,
"Sr Director, Supplier Diversity",Director,,,
Senior Vice President - Revenue Strategy,Vice President,,,
"Vice President, Human Resources & Safety",Vice President,,,
Senior Vice President Strategic Growth,Vice President,,,
"Vice President, Talent and Organizational Development",Vice President,,,
Vice President of Recruitment,Vice President,,,
Talent Training Programs Leader/I D,Individual Contributor/Staff,,,
HCM Systems Analyst,Individual Contributor/Staff,,,
Consultant Media Strategy,Individual Contributor/Staff,,,
"Vice President, HR Business Partners, Talent Strategy & Talent Acquisition",Vice President,,,
Senior Talent Management Specialist,Individual Contributor/Staff,,,
Administrative Operations Supervisor,Individual Contributor/Staff,,,
Executive Vice President for Corporate Strategy,Vice President,,,
Global Business Transformation Lead,Individual Contributor/Staff,,,
VP HR Consumer Market,Vice President,,,
VP Group Communications & IR,Vice President,,,
"Head of Recruiting, People Development and Inclusion",Director,,,
HR Director/People Partner,Manager,Director,,
EVP / Division Director Strategy & Control People,Vice President,,,
Head Business Integration,Director,,,
Director Human Resources Operations & Digital HR,Director,,,
HR Planner,Individual Contributor/Staff,,,
Operation Assistant,Individual Contributor/Staff,,,
CEO Staff Strategic Initiatives & Business Plan Monitoring,Chief Officer,,,
"Director, Digital Customer Experience - Head of Digital Wireline",Director,,,
Head of Security and IT Services,Director,,,
Systems Analyst / Project Manager,Manager,Individual Contributor/Staff,,
Executive Director COE Data Services,Director,,,
Director the Project IT,Director,,,
General Manager Development,Director,,,
Diesel ECU Software Team Leader,Manager,Individual Contributor/Staff,,
Associate Vice President Digital,Director,,,
Head | Digital Ventures and Program Management,Director,,,
General Manager - IT - CRM & Self Care Applicaitons,Director,,,
General Manager Cloud Operations Reliability Engineer,Individual Contributor/Staff,,,
"General Manager, Head of Digital Channel Corporate Customers",Director,,,
Frontend Infrastructure Engineer,Individual Contributor/Staff,,,
RC Environmental and Cyber Specialized Subscription Manager,,,,
Head of Brand & Digital,Director,,,
IT Divestment Programme Director,Director,,,
Information Security & Cyber Risk Consultant,Individual Contributor/Staff,,,
System/Software Engineer,Individual Contributor/Staff,,,
Learning Experience Design Executive,Individual Contributor/Staff,,,
Director Heritage,Director,,,
Privacy & Data Protection Consultant,Individual Contributor/Staff,,,
Chief Audience Officer,Chief Officer,,,
Bi Engineer,Individual Contributor/Staff,,,
Data Architect/Senior Data Engineer,Manager,Individual Contributor/Staff,,
Director of Additive Technologies,Director,,,
IT Administration Senior Business Analyst,Individual Contributor/Staff,,,
Director of Delivery - Healthcare Digital Labs,Director,,,
Senior Engineer -AWS Cloud,Individual Contributor/Staff,,,
Information Technology Delivery Manager/ Systems Analyst Technical Lead,Manager,Individual Contributor/Staff,,
"Senior Vice President, Digital Legal Affairs",Vice President,,,
"Deputy Chief Technology Officer, Digital Services",Vice President,,,
Director Software Program Management,Director,,,
"Head of Mobile & Web Digital Products & Engineering Mobile/Web, Emerging Platforms, Digital",Vice President,,,
"Director, Digital Experience Analytics",Director,,,
Director Product Development - Distributed Cloud - User Knowledge Innovation,Director,,,
Head of IT / Information Security Risk Oversight,Director,,,
"Senior Software Engineer, Infrastructure",Individual Contributor/Staff,,,
Senior Software Build & Release Engineer,Individual Contributor/Staff,,,
"Director, Marketplace & Delivery Strategy",Director,,,
"Director, Device/Network Technology and Service Architecture",Director,,,
"Program Director, Security Systems",Director,,,
VP Devops,Vice President,,,
Information Security Operations Director,Director,,,
"Director, Digital Media Content",Director,,,
Director Digital Publishing Systems,Director,,,
"Director, Strategic Sourcing Engineering, Procurement Managment",Director,,,
Senior Platform Operations Specialist,Individual Contributor/Staff,,,
Head of IT Software Asset Management,Director,,,
Solution Architect Cloud Data & Analytics,Manager,Individual Contributor/Staff,,
IT Architect Workplace & Networking,Manager,,,
CEO of Issuer & eSecurity Services,Chief Officer,,,
Program Manager Data,Manager,,,
IT Analyst & Project Manager,Manager,Individual Contributor/Staff,,
CFO/Deputy CEO,Chief Officer,,,
Senior System Network and TLC Administrator,Individual Contributor/Staff,,,
Head of Strategy Support,Director,,,
Senior Software Consultant / Product Owner,Individual Contributor/Staff,,,
Facility Manager Major Sites,Manager,,,
IT Service Manager Support & Device Services,Manager,,,
Senior SAP Consultant FM,Individual Contributor/Staff,,,
SAP Logistic & Procurement Functional Analyst,Individual Contributor/Staff,,,
SAP Solution Designer,Individual Contributor/Staff,,,
Global IT Corporate Application Technical Lead,Manager,Individual Contributor/Staff,,
UI/UX Designer SaaS Application,Individual Contributor/Staff,,,
Cybersecurity Lead,Manager,Individual Contributor/Staff,,
Quality Management System Analyst,Individual Contributor/Staff,,,
Head of Market and Liquidity Risk,Director,,,
All Round Employee ICT,Individual Contributor/Staff,,,
System Administrator & IT Support Engineer,Individual Contributor/Staff,,,
Flight Data Support,Individual Contributor/Staff,,,
"Processes, Compliance & Systems Accounting & Tax",Individual Contributor/Staff,,,
Head of IT Entity,Director,,,
"Manager of Cyber, Data & Cloud Security within Air France & KLM",Manager,,,
Group Network & Security Operations Manager / Network & Security Manager,Manager,,,
Senior Statistical Data Manager,Manager,,,
"Product Owner Digital, Data and IS Direction",Manager,,,
Technical Quality Assurance Analyst,Individual Contributor/Staff,,,
SAS Developer Expert End Customer,Individual Contributor/Staff,,,
IT Fast Track Projects Manager,Manager,,,
"Chief Specialist, Cyber Security Center",Individual Contributor/Staff,,,
Head of Democratic Governance,Director,,,
Head Of Investment Risk UK,Director,,,
Treasury Manager & Head of Credit Risk Management,Director,,,
Model Risk Director,Director,,,
Corporate Quality Compliance Manager Product Safety Officer,Manager,,,
"Group Chief Information Security Officer, Managing Director",Director,Chief Officer,,
Head of IT Project Management Unit,Director,,,
IT iDigital Business & Process Applications Analyst,Individual Contributor/Staff,,,
IT/IS Customer Applications Support,Individual Contributor/Staff,,,
Head Of Fix Network Extension And Documentation,Director,,,
Head Of Market And Liquidity Risk Models,Director,,,
Applications Sys Admin,Individual Contributor/Staff,,,
Director Data Management and Science,Director,,,
Geography Strategy Division Regions Department 2 General Manager,Manager,Director,,
Senior Director Sales Marketing for National Security Bussines,Director,,,
"Executive Officer, Head of HR",Director,,,
"President, Representative Director and CEO",Director,Chief Officer,,
Operations Cards and Payments Director,Director,,,
Data Engineer | Data Intelligence,Individual Contributor/Staff,,,
Head of the Budget Department,Director,,,
Chief Data Officer CDO Digital Transformation & Innovation,Chief Officer,,,
Executive Credit and Collection Manager,Manager,,,
"Accounting, Tax and Finance Manager",Manager,,,
IT Analyst Senior Services and Projects Management,Individual Contributor/Staff,,,
Process Technician Senior,Individual Contributor/Staff,,,
Finance Superintendent,Manager,Individual Contributor/Staff,,
Business Intelligence Application Development Supervisor,Individual Contributor/Staff,,,
Senior Product Line Manager - DevOps / Enterprise Architecture,Manager,,,
Head of Commercial & Consumer Loan Administration,Director,,,
Senior Thin Film Development Engineer,Individual Contributor/Staff,,,
"Manager, IT Network Services",Manager,,,
SQL Server Database Administrator III,Individual Contributor/Staff,,,
Oncology Data Specialist,Individual Contributor/Staff,,,
"Vice President, Systems Software Development & Services",Vice President,,,
"Senior Vice President, Head of CRE Credit Administration",Vice President,,,
"Senior Security Engineer Team Lead, CISO",Individual Contributor/Staff,Chief Officer,,
Loan Quality Assurance Supervisor,Individual Contributor/Staff,,,
Leader Web Development,Individual Contributor/Staff,,,
Senior Loan Accounting Manager,Manager,,,
Squad Lead Software Engineer LLL,Individual Contributor/Staff,,,
Financial Center Manager | AVP,Vice President,,,
Lead Information Systems Support / Priority ERP Admin,Individual Contributor/Staff,,,
Research and Development Engineer and Software Team Leader,Individual Contributor/Staff,,,
Resource Manager Group & Business Developer IT/Data,Manager,,,
Head of APM Product Portfolio,Director,,,
Cofounder Head of KAM,Chief Officer,,,
Head of Artificial Intelligence Group,Director,,,
General Director of Health,Director,,,
"Microsoft and Website Developer UWP, C, Net and Javascript",Individual Contributor/Staff,,,
Head of People; Head of Human Resources,Director,,,
EDiscovery Application Engineer / SQL DBA,Individual Contributor/Staff,,,
Ux Designer Ii,Individual Contributor/Staff,,,
Vice President Applications Engineering,Vice President,,,
Senior Director Integration Communication,Director,,,
Director of Technical Resources,Director,,,
Partner / Head of CLO Capital Markets,Director,,,
"Senior Vice President, Engineering Services",Vice President,,,
Safety Director,Director,,,
Director Client Advocacy,Director,,,
"Executive Vice President & GM, Device",Vice President,,,
"Director, Engineering & Technical Support",Director,,,
"Regional Director, International Programs",Director,,,
"Director, Legal Support Services and Compliance Administration",Director,,,
VP of Merchandising,Vice President,,,
Director Commercial Execution,Director,,,
Director of Instructional Leadership,Director,,,
Principal and Co-Founder,Chief Officer,,,
"Senior Vice President, Clients & Strategy",Vice President,,,
"Director, OB Transportation & ESG",Director,,,
"Vice President, Development and Construction",Vice President,,,
Founder and VP Finance,Chief Officer,,,
Founder / President,Chief Officer,,,
Fire Chief,Vice President,Manager,Individual Contributor/Staff,Director
Assistant Vice President of Search,Director,,,
Advisor and Senior Vice President of Technology,Vice President,,,
and International Public Board Director Roles,Director,,,
"Director, Strategic Implementation",Director,,,
Vice President Programs & Standards,Vice President,,,
"Market Director, Chicago",Director,,,
VP of Wireless Engineering,Vice President,,,
"Vice President, Biotechnology Research and Analysis",Vice President,,,
"Founder, COO",Owner,Chief Officer,,
"BU Director, Oracle, Applications, SAAS",Director,,,
Partner | Head of Risk Consulting,Director,,,
Partner | Accounting & Financial Advisory,Manager,,,
Member Service Manager and Project Manager,Manager,,,
Director and Playwright,Director,,,
"Senior Data Engineer, Solution Architect & Product Specialist Presso Irion",Manager,,,
Head of Product Quality,Director,,,
Analytical Software Developer,Individual Contributor/Staff,,,
Vice-President & Chief Financial Officer,Vice President,,,
Data Science and Analytics Specialist,Individual Contributor/Staff,,,
"Vice President, Finance & Reporting",Vice President,,,
"Vice President, Partnerships & Business Development",Vice President,,,
VP Chief Financial Officer,Vice President,,,
Director Event Marketing,Director,,,
Director | Commercial Mortgage Investments,Director,,,
Directeur Produit Solutions Transport,Director,,,
"Senior Manager, Loyalty Marketing",Manager,,,
"Founder, CEO & Chief Product Officer Ahead Solutions/AdDeals",Chief Officer,,,
Divisional Director Sale,Director,,,
Senior Account Manager / Partner,Manager,Chief Officer,,
Marketing UND Social Media Manager,Manager,,,
"Member of the Board of Directors, Chief Operating Officer, COO",Chief Officer,,,
Team Manager Online Marketing,Manager,,,
PR / Content Marketing Manager,Manager,,,
Chief Technology Officer and Founder,Chief Officer,,,
Marketing & Social Media,Individual Contributor/Staff,,,
Revenue Product Analyst,Individual Contributor/Staff,,,
Interim IS Director,Director,,,
Global Head of Maintenance Services,Director,,,
Head of Data and Artificial Intelligence,Director,,,
Production Manager (Live Events),Manager,,,
Global Head of Partnerships & Alliances Enterprise Solution Sales Leader for Global CPQ Systems,Director,,,
New Business Account Manager,Manager,,,
Data & Analytics Lead,Individual Contributor/Staff,,,
Director Humanitarian and International Partnerships,Director,,,
Data & Appeals Manager,Manager,,,
VP Finance & Corporate Development,Vice President,,,
Vice President Sales Strategies,Vice President,,,
"SVP, Product Strategy",Vice President,,,
Healthcare Data Analyst/Systems Designer,Individual Contributor/Staff,,,
Director of Marketing Brand & Digital,Director,,,
Assistant Vice President Forensic Accounting & Economics,Vice President,,,
Manager Land and Restoration,Manager,,,
Senior Sales Engineer | Federal Operations,Individual Contributor/Staff,,,
Financial Aid Programs Manager,Manager,,,
Sr Sales Engineer Digital Solutions,Individual Contributor/Staff,,,
"PR, Social Media Content Senior Account Executive",Manager,Individual Contributor/Staff,,
Senior Grant Accountant,Individual Contributor/Staff,,,
"Manager, CRM Business Pipeline",Manager,,,
"Communications and Marketing Manager, Membership",Manager,,,
Audit & Attest Supervisor,Individual Contributor/Staff,,,
Senior Agency Loan Processor,Individual Contributor/Staff,,,
Senior Manager Integrated Marketing,Manager,,,
General Manager; CFO,Chief Officer,,,
Co-Founder and Senior Game Programmer,Individual Contributor/Staff,Chief Officer,,
"Director, Manufacturer Business Unit",Director,,,
Head of Automation and Information Management,Director,,,
Chief Sales Officer Consumer Grade UX Applications and Mobility for Your ERP or ANY Back End System,Chief Officer,,,
"Group Internal Controls, ERM and BCP Director Finance",Director,,,
Manager Sales and Tour,Manager,,,
CTO & Founding Partner,Chief Officer,,,
Business Analyst | Banking & Financial Services Division,Individual Contributor/Staff,,,
Senior Account Manager Data Solutions,Manager,,,
Academy Manager,Manager,,,
COO / Vice VD,Chief Officer,,,
Service Manager/ Team leader,Manager,,,
Lead Solution Architect and Partner,Manager,,,
"Manager, Dynamic Policy, Prudential Policy Department",Manager,,,
Finance Training Manager,Manager,,,
Senior Manager Tax Advisory,Manager,,,
"Paraplanning, Operations Manager",Manager,,,
"Manager Strategy, Insights and Performance",Manager,,,
Group Finance Reporting Manager,Manager,,,
Manager Financial Planning and Strategy,Manager,,,
Head of Supply Chain & Distribution,Director,,,
Head of Purchasing Stationery / DIY,Director,,,
Director Payroll & Administration,Director,,,
Senior Director Purchase & QA Knits and Denim,Director,,,
Indirect Tax Technology Manager,Manager,,,
Executive and Labor Director,Director,,,
CTO & Member of the Management Board,Chief Officer,,,
Manager Lean and Smart Supply Chain Processes,Manager,,,
Manager Manufacturing Engineering,Manager,,,
"Project Manager, Operations and Offline Products",Manager,,,
Senior Buyer Engelhorn Women's and Men's Luxury RTW,Individual Contributor/Staff,,,
"Director of Industrial Groups Energy, Industrials",Director,,,
Vice President SBU Biophotonics,Vice President,,,
Department Manager System Validation I Global R&D I,Manager,,,
Strategic Sourcing Manager Polymers and Energy,Manager,,,
Senior Manufacturing Project Manager,Manager,,,
Sales and Marketing Strategies Specialist,Individual Contributor/Staff,,,
Software Engineer / Team Leader,Manager,,,
Manager of New Business Development,Manager,,,
Head of Innovation Development Group / Solutions Architect,Director,,,
Advisor Manufacureing,Individual Contributor/Staff,,,
Staff,Individual Contributor/Staff,,,
Civil Engineer,Individual Contributor/Staff,,,
"Technology Evengelist, Ph.D",Individual Contributor/Staff,,,
Business Manager Projects and Economic Development,Manager,,,
Head of Customer Service Experience,Director,,,
Lead Business Relationship Manager,Manager,,,
Head External Affairs,Director,,,
"Audit Manager, Manager Internal Audit",Manager,,,
Purchasing & Insurance Manager,Manager,,,
Plant manager,Manager,,,
Business & Financial Controller,Manager,,,
Group Finance & Treasury Manager,Manager,,,
Corporate Controller & Reporting Manager,Manager,Director,,
Technology Development & Procurement Program Manager,Manager,,,
CEO and Bailiff,Chief Officer,,,
Managing Director / Advanced Ceramic Materials Division,Director,,,
"Territory Manager, Strategy & Effectiveness",Manager,,,
NDT Manufacturing Manager,Manager,,,
Data Analyst - Lean,Individual Contributor/Staff,,,
"Team Leader, IT Data Network Team",Individual Contributor/Staff,,,
Rates and Data Coordinator,Individual Contributor/Staff,,,
Director Business Intelligence and Performance Finance and Performance,Director,,,
Vice President Finance Fund Investment,Vice President,,,
Vice President Corporate Finance and Strategy,Vice President,,,
"Head, Credit & Investment Risk",Director,,,
Information Systems Consultant,Individual Contributor/Staff,,,
Head of Clearing Collection Mohandseen BR,Director,,,
Technical and Regulatory Manager,Manager,,,
Associate II Data Scientist,Individual Contributor/Staff,,,
Director II Property Accounting,Director,,,
"Senior Director, Techinal Accounting & SEC Reporting",Director,,,
Architect Machine Learning,Manager,,,
Deputy Chief Investment Officer Direct Lending,Vice President,,,
Senior Database Administrator SQL,Individual Contributor/Staff,,,
Head of Trade Finance,Director,,,
Software Developer Solar Electronics,Individual Contributor/Staff,,,
IT Organizer,Individual Contributor/Staff,,,
SAP Basis and IBM Power i Senior technical consultant,Individual Contributor/Staff,,,
"Operational Control Manager, Finance",Manager,,,
Project Manager Finance/Wealth Management Area,Manager,,,
Head of Data Protection Regulation,Director,,,
Director Technology & Product Lines / Director Technical Support Business Development and M&A,Director,,,
Senior Sales Manager Process Technology,Manager,,,
Vice President Energy Finance Petroleum Engineer,Vice President,,,
"Vice President of Client Success, Clickpay",Vice President,,,
Federal Business Development Director,Director,,,
Vice Chairman for Global Investments,Vice President,,,
Global Director of IoT Sales & Strategic Initiatives,Director,,,
"Director, Workday Professional Services Sales",Director,,,
"VP Finance and Operations, GTM",Vice President,,,
"VP, Head of Finance Mining Industry",Vice President,,,
"VP, Operational Finance and Processes",Vice President,,,
Senior Vice President Sales Advertising Services & Mail International,Vice President,,,
Head of Bidding & Dispatching/ GEM Business Development,Director,,,
District Sales Manager Life,Manager,,,
B2B Sales Channels Executive Director,Director,,,
"Head of Finance Processes, Group Finance & Treasury",Director,,,
"Business Controller , Head of Purchasing and Contract Management",Manager,Director,,
Head of Strategic Planning Maintenance & Service,Director,,,
Chapter Lead Business Applications,Individual Contributor/Staff,,,
"Account Manager Key Accounts; Power of Attorney, Grant and Provincial",Manager,,,
"Director Digital Improvement, Customer Operations",Director,,,
Head of Finance Global Operations and R&D,Director,,,
Group Head Agency Sales,Director,,,
Finance Accountant Project Reporting,Individual Contributor/Staff,,,
"Finance Director, Transactions and Projects",Director,,,
"Senior Manager, Customer Services",Manager,,,
Accounts Assistant,Individual Contributor/Staff,,,
Director Strategic Projects and Infrastructure,Director,,,
"Accountant CPA, CGA",Individual Contributor/Staff,,,
National Director of Inside Sales,Director,,,
Director of Finance NAM,Director,,,
Managing Director / Chartered Accountant,Director,Individual Contributor/Staff,,
Business Development/Bid Manager and AI Expert,Manager,Individual Contributor/Staff,,
"Communication, Operational Marketing Assistant and Commercial Support",Individual Contributor/Staff,,,
Technical Director Letsee / Media Center,Director,,,
Lifetime Civil Servant,Individual Contributor/Staff,,,
Business Engagement Director,Director,,,
Senior Director of Corporate Finance,Director,,,
"CIO Telexpress Group, COO of Telexpress Manila Center",Chief Officer,,,
Asia Finance Controller,Manager,Director,,
Asia Supply Chain Manager,Manager,,,
"Head of Digital, Innovation and Transformation",Director,,,
Marketing Manager/Engineer,Manager,Individual Contributor/Staff,,
Vice President/Head Customer Service,Vice President,,,
Dy. General Manager Purchase,Director,,,
General Manager Project & Procurement,Director,,,
Technical Sales Representative II,Individual Contributor/Staff,,,
Marketing and Trade Marketing Manager,Manager,,,
ECommerce Accounts Supervisor,Individual Contributor/Staff,,,
Strategic Alliance Director,Manager,,,
Head Application Management,Director,,,
Finance Director and Group Financial Controller,Manager,Director,,
Divisional Sales Manager Pensions and Investments,Manager,,,
Head of Sales and Operations Rapid Recovery,Director,,,
Sales Executive to Sales Manager,Manager,Individual Contributor/Staff,,
Head of DIE Casting,Director,,,
"Director, Sales and Structuring",Director,,,
Procurement Service Manager Energy,Manager,,,
Partner / European Patent Attorney,Manager,,,
Area Vice President Customer Success,Vice President,,,
Pro Vice Chancellor Strategic Initiatives and Professor of Inclusive Education and Learning,Manager,,,
Senior Billings Coordinator,Individual Contributor/Staff,,,
Revenues Officer,Individual Contributor/Staff,,,
Head of Casino Marketing,Director,,,
Group Electric Vehicle Specialist; Brand Manager,Manager,,,
CTO for Aspire Media Group Inc Jobserve,Chief Officer,,,
Senior Product Marketing Planner,Individual Contributor/Staff,,,
Business Development Co Ordinator,Individual Contributor/Staff,,,
Customer Category Manager Revenue Manager,Manager,,,
Accounting Manager Customers and Suppliers,Manager,,,
Global Digital MES Leader/Deputy Head of Business Solutions MAN/QUA/R&D,Manager,,,
Head Designer,Director,,,
Content and Community Manager Social Media Manager,Manager,,,
Policy advisor business economics / senior controller,Manager,Individual Contributor/Staff,,
Manager Marketing Automation,Manager,,,
GM Digital Direct,Director,,,
Sales Director NSW Direct,Director,,,
Head of Sales Transformation,Director,,,
"Head of Customer Reporting, Insights, Strategy, and Planning",Director,,,
"General Manager, Digital Experience",Director,,,
Enterprise & Goverment Account Director,Director,,,
Account Director International & Carrier,Director,,,
